,Provinces,Population
0,Banteay Meanchey,898484
1,Battambang,1132017
2,Kampong Cham,1062914
3,Kampong Chhnang,604895
4,Kampong Speu,924175
5,Kampong Thom,807254
6,Kampot,682987
7,Kandal,1352198
8,Kep,48772
9,Koh Kong,140962
10,Kratié,441078
11,Mondulkiri,93657
12,Oddar Meanchey,267703
13,Pailin,79445
14,Phnom Penh,2352851
15,Preah Sihanouk,234702
16,Preah Vihear,249973
17,Prey Veng,1277867
18,Pursat,516072
19,Ratanakiri,235852
20,Siem Reap,1099825
21,Stung Treng,176488
22,Svay Rieng,613159
23,Takéo,1097243
24,Tboung Khmum,889970
